file_path,file_size,commits_count
frontend/src/ts/modals/quote-submit.ts,3434,5
frontend/src/ts/modals/register-captcha.ts,1079,3
frontend/src/ts/modals/save-custom-text.ts,3332,2
frontend/src/ts/modals/saved-texts.ts,3777,1
frontend/src/ts/modals/share-custom-theme.ts,2520,8
frontend/src/ts/modals/simple-modals.ts,43559,4
frontend/src/ts/modals/streak-hour-offset.ts,3139,3
frontend/src/ts/modals/support.ts,546,5
frontend/src/ts/modals/user-report.ts,3975,3
frontend/src/ts/modals/version-history.ts,2027,4
frontend/src/ts/modals/word-filter.ts,9544,4
frontend/src/ts/observables/banner-event.ts,376,1
frontend/src/ts/observables/config-event.ts,726,3
frontend/src/ts/observables/connection-event.ts,593,1
frontend/src/ts/observables/google-sign-up-event.ts,564,1
frontend/src/ts/observables/keymap-event.ts,774,1
frontend/src/ts/observables/notification-event.ts,529,1
frontend/src/ts/observables/timer-event.ts,481,1
frontend/src/ts/observables/tts-event.ts,416,1
frontend/src/ts/pages/404.ts,366,5
frontend/src/ts/pages/about.ts,6434,19
frontend/src/ts/pages/account.ts,42013,85
frontend/src/ts/pages/loading.ts,1240,11
frontend/src/ts/pages/login.ts,9159,26
frontend/src/ts/pages/page.ts,1021,7
frontend/src/ts/pages/profile-search.ts,535,6
frontend/src/ts/pages/profile.ts,8250,28
frontend/src/ts/pages/settings.ts,40618,64
frontend/src/ts/pages/test.ts,1135,17
frontend/src/ts/popups/share-test-settings-popup.ts,3544,10
frontend/src/ts/popups/video-ad-popup.ts,1984,10
frontend/src/ts/ready.ts,2592,71
frontend/src/ts/settings/settings-group.ts,3572,11
frontend/src/ts/settings/theme-picker.ts,15596,29
frontend/src/ts/states/active-page.ts,204,3
frontend/src/ts/states/arabic-lazy-mode.ts,236,2
frontend/src/ts/states/composition.ts,420,2
frontend/src/ts/states/connection.ts,1391,6
frontend/src/ts/states/custom-text-name.ts,441,1
frontend/src/ts/states/glarses-mode.ts,319,1
frontend/src/ts/states/page-transition.ts,145,1
frontend/src/ts/states/slow-timer.ts,320,1
frontend/src/ts/states/time.ts,177,1
frontend/src/ts/states/version.ts,1116,1
frontend/src/ts/test/british-english.ts,1529,9
frontend/src/ts/test/caps-warning.ts,906,7
frontend/src/ts/test/caret.ts,6137,25
frontend/src/ts/test/custom-text.ts,4301,13
frontend/src/ts/test/english-punctuation.ts,2189,4
frontend/src/ts/test/focus.ts,2183,18
frontend/src/ts/test/funbox/funbox-list.ts,7205,16
frontend/src/ts/test/funbox/funbox-memory.ts,796,6
frontend/src/ts/test/funbox/funbox-validation.ts,10408,15
frontend/src/ts/test/funbox/funbox.ts,21922,30
frontend/src/ts/test/funbox/layoutfluid-funbox-timer.ts,817,4
frontend/src/ts/test/funbox/memory-funbox-timer.ts,1115,2
frontend/src/ts/test/ip-addresses.ts,1639,3
frontend/src/ts/test/layout-emulator.ts,4807,13
frontend/src/ts/test/lazy-mode.ts,2048,16
frontend/src/ts/test/live-acc.ts,1619,8
frontend/src/ts/test/live-burst.ts,1669,14
frontend/src/ts/test/live-speed.ts,1871,1
frontend/src/ts/test/manual-restart-tracker.ts,172,1
frontend/src/ts/test/monkey.ts,2871,4
frontend/src/ts/test/out-of-focus.ts,585,2
frontend/src/ts/test/pace-caret.ts,8704,22
frontend/src/ts/test/pb-crown.ts,850,3
frontend/src/ts/test/poetry.ts,1399,6
frontend/src/ts/test/practise-words.ts,4975,20
